T1      T2      T3      T4      T5      T6      Y1
0.5     0.5     0.5     0.5     0.25    0.5     0
0.5     0.5     0.5     0.5     0.25    0.5     0
0.5     0.5     0.5     0.5     0.25    0.5     0
0.75    0.75    0.5     0.75    0.5     0.5     0
0.75    0.75    0.5     0.75    0.5     0.5     0
0.75    0.75    0.5     0.75    0.25    0.5     1
0.75    0.75    0.5     0.75    0.5     0.5     0
0.75    0.75    0.5     0.75    0.25    0.5     1
0.75    0.75    0.5     0.75    0.25    0.5     1
0.75    0.75    0.5     0.75    0.75    0.5     0
